pdf_id,pdf_filename,local_path,sha256,paper_title,authors,year,venue,version,relevance_screening,pass_reason,analysis_file,status,page_count,duplicate_of,version_note,screening_reason,doi,arxiv,screening_source_location,read_scope,source_type,sort_index
B001,Agarwal 등 - 2023 - Dexterous Functional Grasping.pdf,260918/Agarwal 등 - 2023 - Dexterous Functional Grasping.pdf,c12f68a582bc9f3d1113f38610b62a3a337054583da3e89945e4d10c719903b9,Dexterous Functional Grasping,Ananye Agarwal; Shagun Uppal; Kenneth Shaw; Deepak Pathak,2023,CoRL 2023,"arXiv v1, 2023-12-05",Relevant,Not applicable,batch_001/papers/2023-agarwal-dexterous-functional-grasping.md,completed,15,Not applicable,Single selected version; 15-page arXiv v1 including Appendix A–E. Appendix D has observation-dimension inconsistency.,초기 visual affordance 후 object pose/vision 없이 proprioception과 GRU로 blind grasp를 수행; recurrence 비교와 training-only object state를 조사할 수 있음,Not stated,2312.02975v1,"Title/Abstract, p.1; §1–2, pp.2–5; Appendix D observation, p.15",Full main text pp.1–8; references pp.9–12 checked; Appendix A–E pp.13–15 read. PDF pp.5–6 and 15 rendered and visually inspected.,Research paper,1
B002,"Ahn 등 - Do As I Can, Not As I Say Grounding Language in Robotic Affordances.pdf","260918/Ahn 등 - Do As I Can, Not As I Say Grounding Language in Robotic Affordances.pdf",68ce624b1df1f3c7479cb13953e18dd228bb699cc271005b5e27f2c79f2af153,"Do As I Can, Not As I Say: Grounding Language in Robotic Affordances",Michael Ahn; Anthony Brohan; Noah Brown; Yevgen Chebotar; Omar Cortes; Byron David; Chelsea Finn; Chuyuan Fu; Keerthana Gopalakrishnan; Karol Hausman; Alex Herzog; Daniel Ho; Jasmine Hsu; Julian Ibarz; Brian Ichter; Alex Irpan; Eric Jang; Rosario Jauregui Ruano; Kyle Jeffrey; Sally Jesmonth; Nikhil J Joshi; Ryan Julian; Dmitry Kalashnikov; Yuheng Kuang; Kuang-Huei Lee; Sergey Levine; Yao Lu; Linda Luu; Carolina Parada; Peter Pastor; Jornell Quiambao; Kanishka Rao; Jarek Rettinghouse; Diego Reyes; Pierre Sermanet; Nicolas Sievers; Clayton Tan; Alexander Toshev; Vincent Vanhoucke; Fei Xia; Ted Xiao; Peng Xu; Sichun Xu; Mengyuan Yan; Andy Zeng,Not stated,Not stated,Not stated,PASS,언어 모델의 skill 선택을 image-based affordance/value function으로 grounding하는 연구다. Method와 RL/BC 입력을 확인했으나 tactile·F/T 또는 시각 갱신 없이 접촉 정보를 보완하는 구조를 다루지 않아 PASS.,Not applicable,passed,34,Not applicable,선택 PDF에 publication year/venue/arXiv version의 명시적 표기 확인되지 않음. 참고문헌 연도로 출판연도를 추정하지 않음.,언어 모델의 skill 선택을 image-based affordance/value function으로 grounding하는 연구다. Method와 RL/BC 입력을 확인했으나 tactile·F/T 또는 시각 갱신 없이 접촉 정보를 보완하는 구조를 다루지 않아 PASS.,Not stated,Not stated,"Title/Abstract/§1, PDF pp.1–2; §3–4, p.4; Appendix C.1, pp.19–20",Screening: title/abstract/introduction; method and language-conditioned policy overview; Appendix C.1 input architecture. PASS 후 상세 분석하지 않음.,Research paper,2
B003,Aljalbout 등 - 2024 - On the Role of the Action Space in Robot Manipulation Learning and Sim-to-Real Transfer.pdf,260918/Aljalbout 등 - 2024 - On the Role of the Action Space in Robot Manipulation Learning and Sim-to-Real Transfer.pdf,318bd687d4ff35c244d5a028e6d78a790ae10f714dbb1c3be746ebe1c62f2bb6,On the Role of the Action Space in Robot Manipulation Learning and Sim-to-Real Transfer,Elie Aljalbout; Felix Frank; Maximilian Karl; Patrick van der Smagt,2023,Not stated,"arXiv v1, 2023-12-06",PASS,"Reaching/pushing의 action-space 및 sim-to-real 성능 비교가 중심이며 pushing Actor에 current object position/orientation을 제공한다. Tactile·F/T 관측, 접촉 locality 추정, 물체 정보 미관측의 보완을 분석하지 않아 PASS.",Not applicable,passed,9,Not applicable,파일명은 2024이나 실제 선택 PDF는 2023-12-06 arXiv v1. 이 Manifest는 읽은 버전의 2023을 기록하며 출판본을 읽은 것으로 처리하지 않음.,"Reaching/pushing의 action-space 및 sim-to-real 성능 비교가 중심이며 pushing Actor에 current object position/orientation을 제공한다. Tactile·F/T 관측, 접촉 locality 추정, 물체 정보 미관측의 보완을 분석하지 않아 PASS.",Not stated,2312.03673v1,"Title/Abstract/§I, PDF p.1; §III, pp.2–3; §IV observation, p.4","Screening: title/abstract/introduction, method/controller overview and experimental observation specification. PASS 후 상세 분석하지 않음.",Research paper,3
B004,Articulation Joint Friction.pdf,260918/Articulation Joint Friction.pdf,9c399575d71f9ee045ad1434c011d591d7cc6780f927c534c0db5ace053a9216,Articulation Joint Friction,PhysX Team,2025,Not applicable,Technical document dated 2025-04-28,PASS,PhysX articulation joint friction의 API·solver 구현을 설명하는 기술문서다. Manipulation의 센서 관측이나 tactile/F/T에 의한 부족한 물체 정보 보완을 다루는 연구가 아니므로 PASS.,Not applicable,passed,3,Not applicable,학술 논문이 아닌 PhysX Team의 3쪽 구현 기술문서. 문서 날짜는 PDF p.1에 명시.,PhysX articulation joint friction의 API·solver 구현을 설명하는 기술문서다. Manipulation의 센서 관측이나 tactile/F/T에 의한 부족한 물체 정보 보완을 다루는 연구가 아니므로 PASS.,Not stated,Not stated,"Title/date/Basics/§1, PDF p.1; §2–4, pp.2–3",Screening: 문서 종류·범위 확인을 위해 3쪽 내용을 확인. 상세 manipulation 분석 대상에서 제외.,Technical documentation (non-paper),4
B005,Azimi 등 - 2026 - Benchmarking Action Spaces in Reinforcement Learning for Vision-based Robotic Manipulation.pdf,260918/Azimi 등 - 2026 - Benchmarking Action Spaces in Reinforcement Learning for Vision-based Robotic Manipulation.pdf,f3d1e7cdb2c94096fe9d727f110c71e9ec9d41ac62426ec6ce4181f3e4ea3073,Benchmarking Action Spaces in Reinforcement Learning for Vision-based Robotic Manipulation,Seyed Alireza Azimi; Homayoon Farrahi; Abhishek Naik; Colin Bellinger; A. Rupam Mahmood,2026,Not stated,"arXiv v1, 2026-06-17",PASS,지속 RGB·proprioception 기반 picking/pushing에서 action-space를 비교한다. 입력·controller·grasp-status 정의까지 확인했으나 tactile/F/T 또는 접촉 정보 보완 자체의 분석을 제공하지 않아 PASS.,Not applicable,passed,9,Not applicable,선택 PDF p.1의 arXiv v1 표기 기준. Observation의 grasp status와 thresholded gripper command를 tactile sensor 측정으로 재해석하지 않음.,지속 RGB·proprioception 기반 picking/pushing에서 action-space를 비교한다. 입력·controller·grasp-status 정의까지 확인했으나 tactile/F/T 또는 접촉 정보 보완 자체의 분석을 제공하지 않아 PASS.,Not stated,2606.18594v1,"Title/Abstract/§I, PDF p.1; §III-C/IV, p.3; §IV-B/C, p.4; Eq.(11)/§V-B, p.5","Screening: title/abstract/introduction, method/controller overview, observations and actor–critic architecture; grasp-status ambiguity 확인을 위해 Eq.(11) 추가 확인. PASS 후 상세 분석하지 않음.",Research paper,5
B006,Back 등 - 2022 - Unseen Object Amodal Instance Segmentation via Hierarchical Occlusion Modeling.pdf,260918/Back 등 - 2022 - Unseen Object Amodal Instance Segmentation via Hierarchical Occlusion Modeling.pdf,40c6c6b4bace80b7f58742960f8be2de91ca5f32eb1b17df7cabddf0f5116326,Unseen Object Amodal Instance Segmentation via Hierarchical Occlusion Modeling,Seunghyeok Back; Joosoon Lee; Taewon Kim; Sangjun Noh; Raeyoung Kang; Seongho Bak; Kyoobin Lee,2022,2022 IEEE International Conference on Robotics and Automation (ICRA),publisher,PASS,RGB-D 영상의 visible/amodal mask 및 occlusion을 예측하는 perception 연구다. Tactile·F/T 또는 접촉 조작 중 부족한 object information의 보완 구조를 다루지 않아 PASS.,Not applicable,passed,8,Not applicable,제공본은 IEEE 출판본. 선택한 15개 안에 같은 논문의 다른 버전 없음,RGB-D 영상의 visible/amodal mask 및 occlusion을 예측하는 perception 연구다. Tactile·F/T 또는 접촉 조작 중 부족한 object information의 보완 구조를 다루지 않아 PASS.,10.1109/ICRA46639.2022.9811646,Not stated,Title/Abstract/Introduction PDF p.1; Problem statement §III p.2; Method/Observation §IV-A–B pp.2–3,Screening only: PDF pp.1–3; detailed analysis not performed,Research paper,6
B007,Beltran-Hernandez 등 - 2020 - Learning Force Control for Contact-Rich Manipulation Tasks With Rigid Position-Controlled Robots.pdf,260918/Beltran-Hernandez 등 - 2020 - Learning Force Control for Contact-Rich Manipulation Tasks With Rigid Position-Controlled Robots.pdf,b8338cd208ea74e5afc83a9159b391ef5dae2d4d61694ea452996ca9eae5d802,Learning Force Control for Contact-Rich Manipulation Tasks With Rigid Position-Controlled Robots,Cristian Camilo Beltran-Hernandez; Damien Petit; Ixchel Georgina Ramirez-Alpizar; Takayuki Nishi; Shinichi Kikuchi; Takamitsu Matsubara; Kensuke Harada,2020,"IEEE Robotics and Automation Letters 5(4), 5709–5716",publisher,Relevant,Not applicable,batch_001/papers/2020-beltran-hernandez-learning-force-control.md,completed,8,Not applicable,Single selected file; no alternate version comparison,F/T와 EEF 목표 pose 오차·속도를 함께 입력하여 접촉 조작을 수행하는 사례다. 물체 형상 모델 없이 동작하지만 알려진 EEF goal과 튜닝된 force controller에 의존하므로 F/T-only라는 표현의 조건을 구분하는 데 직접 유용하다. Tactile은 사용하지 않으며 F/T 센서 제거 비교도 없다.,10.1109/LRA.2020.3010739,Not stated,"Title/Abstract/Introduction, PDF pp.1–2; §III-B and Fig.1, PDF p.3",Provided PDF pp.1–8; no separate appendix; no external code/video/supplement,Research paper,7
B008,Bergmann 등 - 2025 - Precision-Focused Reinforcement Learning Model for Robotic Object Pushing.pdf,260918/Bergmann 등 - 2025 - Precision-Focused Reinforcement Learning Model for Robotic Object Pushing.pdf,6f34f73c0f3f8c541e626664cbffa907574b4fd15d289314665edca514483d38,Precision-Focused Reinforcement Learning Model for Robotic Object Pushing,Lara Bergmann; David Leins; Robert Haschke; Klaus Neumann,2025,"2025 International Conference on Advanced Robotics and Mechatronics (ICARM), 758–765",publisher,Partially Relevant,Not applicable,batch_001/papers/2025-bergmann-precision-focused-pushing.md,completed,8,Not applicable,Single selected file; no alternate version comparison,"Tactile/F/T를 사용하지 않는 vision–proprioception pushing 연구다. 다만 binary visual representation에 없는 mass/friction 정보를 episode history로 보완한다는 명시적 논리와 memory 비교가 있으므로, 미관측 물성의 history 보완 구조에 한정하여 포함한다. 시각이 없는 실행 또는 tactile 정보손실 보완의 직접 증거로 사용하지 않는다.",10.1109/ICARM65671.2025.11293485,Not stated,"Title/Abstract/Introduction, PDF p.1; §IV-A–B observation/history, PDF pp.2–3",Provided PDF pp.1–8; no separate appendix; no external code/video/supplement,Research paper,8
B009,Black 등 - 2026 - $π_0$ A Vision-Language-Action Flow Model for General Robot Control.pdf,260918/Black 등 - 2026 - $π_0$ A Vision-Language-Action Flow Model for General Robot Control.pdf,e507e0360e8be44655a789ca7a38c2457aa463fc52d320c6a39efd6bdd542bc8,π0: A Vision-Language-Action Flow Model for General Robot Control,Kevin Black; Noah Brown; Danny Driess; Adnan Esmail; Michael Equi; Chelsea Finn; Niccolo Fusai; Lachy Groom; Karol Hausman; Brian Ichter; Szymon Jakubczak; Tim Jones; Liyiming Ke; Sergey Levine; Adrian Li-Bell; Mohith Mothukuri; Suraj Nair; Karl Pertsch; Lucy Xiaoyang Shi; James Tanner; Quan Vuong; Anna Walling; Haohuan Wang; Ury Zhilinsky,2024,Not stated (arXiv preprint),arXiv v1; 2024-10-31,PASS,RGB 영상·언어 지시·관절각을 사용하는 범용 VLA 정책 연구다. 접촉 sensing이나 축약 tactile·F/T의 정보 보완 및 역할 비교를 다루지 않아 PASS.,Not applicable,passed,17,Not applicable,파일명에는 2026이나 PDF 표기는 arXiv v1 (31 Oct 2024)이므로 원문 연도 2024를 사용. 선택 범위 내 다른 버전 없음,RGB 영상·언어 지시·관절각을 사용하는 범용 VLA 정책 연구다. 접촉 sensing이나 축약 tactile·F/T의 정보 보완 및 역할 비교를 다루지 않아 PASS.,Not stated,2410.24164v1,Title/Abstract PDF p.1; Introduction pp.2–3; Overview/Method §III–IV pp.4–5; observation definition p.5,Screening only: PDF pp.1–5; detailed analysis not performed,Research paper,9
B010,Brohan 등 - 2023 - RT-2 Vision-Language-Action Models Transfer Web Knowledge to Robotic Control.pdf,260918/Brohan 등 - 2023 - RT-2 Vision-Language-Action Models Transfer Web Knowledge to Robotic Control.pdf,0a62dc36bbbfdea232ad45a0ab75c82e9cf535b55333ff22c02d5da1897ccac3,RT-2: Vision-Language-Action Models Transfer Web Knowledge to Robotic Control,Anthony Brohan; Noah Brown; Justice Carbajal; Yevgen Chebotar; Xi Chen; Krzysztof Choromanski; Tianli Ding; Danny Driess; Avinava Dubey; Chelsea Finn; Pete Florence; Chuyuan Fu; Montse Gonzalez Arenas; Keerthana Gopalakrishnan; Kehang Han; Karol Hausman; Alexander Herzog; Jasmine Hsu; Brian Ichter; Alex Irpan; Nikhil Joshi; Ryan Julian; Dmitry Kalashnikov; Yuheng Kuang; Isabel Leal; Lisa Lee; Tsang-Wei Edward Lee; Sergey Levine; Yao Lu; Henryk Michalewski; Igor Mordatch; Karl Pertsch; Kanishka Rao; Krista Reymann; Michael Ryoo; Grecia Salazar; Pannag Sanketi; Pierre Sermanet; Jaspiar Singh; Anikait Singh; Radu Soricut; Huong Tran; Vincent Vanhoucke; Quan Vuong; Ayzaan Wahid; Stefan Welker; Paul Wohlhart; Jialin Wu; Fei Xia; Ted Xiao; Peng Xu; Sichun Xu; Tianhe Yu; Brianna Zitkovich,2023,Not stated (arXiv preprint),arXiv v1; 2023-07-28; manuscript header 2023-08-01,PASS,Camera 영상·언어 지시를 robot action token으로 연결하는 VLA 연구다. Unseen dynamics의 실패 사례는 있으나 tactile·F/T 기반 접촉 정보 보완 또는 modality 역할을 조사하지 않아 PASS.,Not applicable,passed,26,Not applicable,PDF의 arXiv v1 날짜와 본문 header 날짜를 함께 기록. 선택 범위 내 다른 버전 없음,Camera 영상·언어 지시를 robot action token으로 연결하는 VLA 연구다. Unseen dynamics의 실패 사례는 있으나 tactile·F/T 기반 접촉 정보 보완 또는 modality 역할을 조사하지 않아 PASS.,Not stated,2307.15818v1,Title/Abstract/Introduction PDF pp.1–3; Method/inputs §3.1–3.3 pp.4–6; scope check Appendix G p.23,Screening only: PDF pp.1–6 and Appendix G p.23; detailed analysis not performed,Research paper,10
